SohasDesignation,Asteroid,AutoDetected,Confirmed,ConfirmedAt,ConfirmedBy,Comment
OG20549,,,1,2020-08-17 13:35:18,Michal Biesiada,
OG20548,,,1,2020-08-17 13:32:48,Michal Biesiada,
OG20547,,,1,2020-08-17 13:17:16,Michal Biesiada,
OG20546,,,1,2020-08-17 13:12:01,Michal Biesiada,
OG20517,,,1,2020-07-24 15:40:11,Michal Biesiada,
OG20516,,,1,2020-07-24 14:08:22,Michal Biesiada,
OG20515,,,1,2020-07-24 14:06:55,Michal Biesiada,
OG20514,,,1,2020-07-24 14:02:10,Michal Biesiada,
OG20513,,,1,2020-07-24 13:41:40,Michal Biesiada,
OG20512,,,1,2020-07-24 13:39:42,Michal Biesiada,
OG20497,,,1,2020-07-23 13:13:02,Michal Biesiada,
OG20496,,,1,2020-07-23 13:02:04,Michal Biesiada,
OG20495,,,1,2020-07-23 12:42:04,Michal Biesiada,
OG20487,,,1,2020-07-22 12:41:41,Michal Biesiada,
OG20486,,,1,2020-07-22 12:36:42,Michal Biesiada,
OG20485,,,1,2020-07-22 12:14:21,Michal Biesiada,
OG20484,,,1,2020-07-22 12:06:17,Michal Biesiada,
OG20483,,,1,2020-07-22 12:00:10,Michal Biesiada,
OG20477,,,1,2020-07-21 17:27:00,Michal Biesiada,
OG20464,,,1,2020-06-22 18:02:46,Michal Biesiada,
OG20463,,,1,2020-06-22 17:37:19,Michal Biesiada,
OG20462,,,1,2020-06-22 17:13:39,Michal Biesiada,
OG20461,,,1,2020-06-22 17:00:07,Michal Biesiada,
OG20455,,,1,2020-06-21 23:56:57,Michal Biesiada,
OG20454,,,1,2020-06-19 20:41:30,Michal Biesiada,
OG20452,,,1,2020-06-21 14:20:04,Michal Biesiada,
OG20372,,,1,2020-03-31 10:16:06,Michal Biesiada,
OG20371,,,1,2020-03-31 09:43:07,Michal Biesiada,
OG20370,,,1,2020-03-31 02:49:57,Michal Biesiada,
OG20242,,,1,2020-01-24 22:01:14,Michal Biesiada,
OG20123,,,1,2019-12-24 01:40:34,Michal Biesiada,
OG20005,,,1,2019-11-27 22:55:53,Michal Biesiada,
OG19858,,,1,2019-10-30 08:12:38,Michal Biesiada,
OG19816,,,1,2019-10-01 10:21:45,Michal Biesiada,
OG19815,,,1,2019-09-30 23:15:29,Michal Biesiada,
OG19781,,,1,2019-09-27 16:45:01,Michal Biesiada,
OG19780,,,1,2019-09-27 16:36:49,Michal Biesiada,
OG19779,,,1,2019-09-27 16:22:43,Michal Biesiada,
OG19705,,,1,2019-09-19 23:35:24,Michal Biesiada,
OG19704,,,1,2019-09-19 23:34:48,Michal Biesiada,
OG19375,,,1,2019-08-01 23:16:28,Michal Biesiada,
OG19374,,,1,2019-08-01 23:00:28,Michal Biesiada,
OG19373,,,1,2019-08-01 23:00:08,Michal Biesiada,
OG19372,,,1,2019-08-01 22:55:56,Michal Biesiada,
OG19371,,,1,2019-08-01 22:55:01,Michal Biesiada,
OG19370,,,1,2019-08-01 22:47:34,Michal Biesiada,
OG19369,,,1,2019-08-01 22:43:03,Michal Biesiada,
OG19368,,,1,2019-08-01 22:41:33,Michal Biesiada,
OG19367,,,1,2019-08-01 22:33:04,Michal Biesiada,
OG19366,,,1,2019-08-01 22:23:25,Michal Biesiada,
OG19365,,,1,2019-08-01 22:14:30,Michal Biesiada,
