SohasDesignation,Asteroid,AutoDetected,Confirmed,ConfirmedAt,ConfirmedBy,Comment
OG20993,,,1,2020-12-14 16:46:22,MB, 
OG20992,,,1,2020-12-14 16:31:20,MB, 
OG20991,,,1,2020-12-14 16:24:02,MB, 
OG20979,,,1,2020-12-13 18:35:47,MB, 
OG20978,,,1,2020-12-13 18:35:21,MB, 
OG20977,,,1,2020-12-13 18:19:36,MB, 
OG20976,,,1,2020-12-13 17:13:16,MB, 
OG20975,,,1,2020-12-13 17:00:27,MB, 
OG20974,,,1,2020-12-13 16:33:49,MB, 
OG20973,,,1,2020-12-13 16:30:14,MB, 
OG20971,,,1,2020-12-13 15:49:07,MB, 
OG20969,,,1,2020-12-13 15:39:05,MB, 
OG20968,,,1,2020-12-13 15:35:33,MB, 
OG20967,,,1,2020-12-13 15:34:05,MB, 
OG20966,,,1,2020-12-13 15:31:47,MB, 
OG20964,,,1,2020-12-13 15:27:38,MB, 
OG20963,,,1,2020-12-13 15:23:59,MB, 
OG20953,,1,1,2020-12-13 12:04:59,MB,M313865
OG20913,,,1,2020-11-20 17:44:25,MB, 
OG20910,,,1,2020-11-20 16:46:40,MB, 
OG20909,,,1,2020-11-20 16:38:54,MB, 
OG20908,,,1,2020-11-20 16:31:28,MB, 
OG20906,,,1,2020-11-20 16:26:54,MB, 
OG20905,,,1,2020-11-20 16:24:22,MB, 
OG20904,,,1,2020-11-20 16:10:52,MB, 
OG20903,,,1,2020-11-20 16:07:07,MB, 
OG20902,,,1,2020-11-20 16:05:16,MB, 
OG20901,,,1,2020-11-20 16:04:53,MB, 
OG20900,,,1,2020-11-20 16:04:04,MB, 
OG20899,,,1,2020-11-20 16:00:43,MB, 
OG20898,,,1,2020-11-20 15:52:59,MB, 
OG20897,,,1,2020-11-20 15:48:48,MB, 
OG20888,,1,1,2020-11-20 11:08:49,MB,M312823
OG20886,,1,1,2020-11-20 11:08:12,MB,M312789
OG20882,,1,1,2020-11-20 11:06:15,MB,M312683
OG20875,,1,1,2020-11-20 11:03:22,MB,M312520
OG20867,,1,1,2020-11-20 11:06:40,MB,M312706
OG20863,,,1,2020-11-19 18:48:00,MB, 
OG20862,,,1,2020-11-19 18:41:24,MB, 
OG20861,,,1,2020-11-19 18:38:23,MB, 
OG20860,,,1,2020-11-19 18:21:56,MB, 
OG20859,,,1,2020-11-19 18:18:51,MB, 
OG20858,,,1,2020-11-19 18:18:15,MB, 
OG20857,,,1,2020-11-19 18:15:29,MB, 
OG20856,,,1,2020-11-19 18:09:03,MB, 
OG20855,,,1,2020-11-19 18:04:42,MB, 
OG20853,,,1,2020-11-19 17:50:36,MB, 
OG20852,,,1,2020-11-19 17:47:22,MB, 
OG20851,,,1,2020-11-19 17:40:54,MB, 
